case_name,base_count,supplier_count,population_size,max_generation,seed,solver_time_limit_sec,max_retry_count,initialization_sec,loop_total_sec,greedy_decode_sec,solver_decode_sec,local_search_sec,other_ga_sec,greedy_decode_pct,solver_decode_pct,local_search_pct,other_ga_pct,greedy_decode_calls,solver_decode_calls,local_search_calls,best_cost,feasible_count
2基地20供应商,2,20,30,100,0,3.0,5,0.047032542000000066,75.477866792,0.13257904299999956,75.14036666699998,0.17050095800002918,0.03442012399999772,0.0017565287498831617,0.995528488822689,0.0022589530579857457,0.0004560293694421946,98,102,10,3140044324.9168706,30
4基地40供应商,4,40,30,100,0,3.0,5,0.2912332500000048,1358.41668125,0.8815042530000312,1351.999847619999,5.426553791000259,0.10877558600080306,0.0006489203682252199,0.995276240553748,0.003994763805467115,8.007527255974873e-05,98,462,10,6131431089.43732,30
