instance_name,algorithm_name,base_id,period,ending_inventory_iron,safety_stock,ending_inventory_weight,capacity
case_5x30,ga_greedy_only,0,0,200000.000000,44008.080591,256199.139584,500000000
case_5x30,ga_greedy_only,0,1,96999.183696,42605.208334,116994.887512,500000000
case_5x30,ga_greedy_only,1,0,72997.832403,14475.549503,98305.155011,500000000
case_5x30,ga_greedy_only,1,1,72995.402403,19553.649300,96028.907675,500000000
case_5x30,ga_greedy_only,2,0,103817.936390,34685.727885,155806.095919,500000000
case_5x30,ga_greedy_only,2,1,41818.556390,26885.159724,52103.172350,500000000
case_5x30,ga_greedy_only,3,0,159997.930000,35327.119108,205585.051590,500000000
case_5x30,ga_greedy_only,3,1,10934.596170,10853.166692,14655.611718,500000000
case_5x30,ga_greedy_only,4,0,145998.923696,31078.575290,190951.496676,500000000
case_5x30,ga_greedy_only,4,1,19395.714908,9387.320315,27243.190562,500000000
