instance_name,algorithm_name,supplier_id,total_purchase_qty,purchase_share,cumulative_purchase_share,rank
case_4x30,manual,29,1999998.471203,0.381672,0.381672,1
case_4x30,manual,15,905074.536439,0.172721,0.554393,2
case_4x30,manual,22,335023.333509,0.063935,0.618328,3
case_4x30,manual,16,200000.000000,0.038167,0.656495,4
case_4x30,manual,17,200000.000000,0.038167,0.694662,5
case_4x30,manual,25,200000.000000,0.038167,0.732829,6
case_4x30,manual,24,200000.000000,0.038167,0.770997,7
case_4x30,manual,23,200000.000000,0.038167,0.809164,8
case_4x30,manual,21,200000.000000,0.038167,0.847331,9
case_4x30,manual,20,200000.000000,0.038167,0.885498,10
case_4x30,manual,19,200000.000000,0.038167,0.923666,11
case_4x30,manual,14,200000.000000,0.038167,0.961833,12
case_4x30,manual,18,200000.000000,0.038167,1.000000,13
case_4x30,manual,28,0.000000,0.000000,1.000000,14
case_4x30,manual,27,0.000000,0.000000,1.000000,15
case_4x30,manual,26,0.000000,0.000000,1.000000,16
case_4x30,manual,2,0.000000,0.000000,1.000000,17
case_4x30,manual,3,0.000000,0.000000,1.000000,18
case_4x30,manual,1,0.000000,0.000000,1.000000,19
case_4x30,manual,13,0.000000,0.000000,1.000000,20
case_4x30,manual,12,0.000000,0.000000,1.000000,21
case_4x30,manual,11,0.000000,0.000000,1.000000,22
case_4x30,manual,10,0.000000,0.000000,1.000000,23
case_4x30,manual,9,0.000000,0.000000,1.000000,24
case_4x30,manual,8,0.000000,0.000000,1.000000,25
case_4x30,manual,7,0.000000,0.000000,1.000000,26
case_4x30,manual,6,0.000000,0.000000,1.000000,27
case_4x30,manual,5,0.000000,0.000000,1.000000,28
case_4x30,manual,4,0.000000,0.000000,1.000000,29
case_4x30,manual,0,0.000000,0.000000,1.000000,30
