instance_name,algorithm_name,base_id,period,total_purchase_qty,total_iron_qty,weighted_average_grade,min_required_grade,grade_surplus,average_unit_iron_cost,high_grade_purchase_share,low_grade_purchase_share,low_unit_iron_cost_purchase_share,high_unit_iron_cost_purchase_share,high_grade_threshold,unit_iron_cost_threshold
case_4x30,manual,ALL,ALL,5240096.341151,4223465.618528,0.805990,,,1113.340789,0.885498,0.114502,0.885498,0.114502,0.543751,1995.461134
case_4x30,manual,0,ALL,2354830.420868,2001265.778498,0.849856,0.300000,0.549856,1037.047464,0.915068,0.084932,0.915068,0.084932,0.543751,1995.461134
case_4x30,manual,1,ALL,946259.802157,649583.976060,0.686475,0.300000,0.386475,1324.137804,0.788642,0.211358,0.788642,0.211358,0.543751,1995.461134
case_4x30,manual,2,ALL,1204500.428199,969417.752179,0.804830,0.300000,0.504830,1120.331693,0.889304,0.110696,0.889304,0.110696,0.543751,1995.461134
case_4x30,manual,3,ALL,734505.689928,603198.111791,0.821230,0.300000,0.521230,1128.221057,0.909236,0.090764,0.909236,0.090764,0.543751,1995.461134
case_4x30,manual,0,0,501762.114208,349161.611816,0.695871,0.300000,0.395871,1284.592935,0.800702,0.199298,0.800702,0.199298,0.543751,1995.461134
case_4x30,manual,0,1,1853068.306660,1652104.166682,0.891551,0.300000,0.591551,984.730318,0.946035,0.053965,0.946035,0.053965,0.543751,1995.461134
case_4x30,manual,1,0,404288.327365,258510.990052,0.639422,0.300000,0.339422,1414.787251,0.752652,0.247348,0.752652,0.247348,0.543751,1995.461134
case_4x30,manual,1,1,541971.474791,391072.986009,0.721575,0.300000,0.421575,1264.215797,0.815488,0.184512,0.815488,0.184512,0.543751,1995.461134
case_4x30,manual,2,0,579834.361795,462714.557705,0.798012,0.300000,0.498012,1110.174079,0.885025,0.114975,0.885025,0.114975,0.543751,1995.461134
case_4x30,manual,2,1,624666.066404,506703.194474,0.811159,0.300000,0.511159,1129.607490,0.893276,0.106724,0.893276,0.106724,0.543751,1995.461134
case_4x30,manual,3,0,466149.023085,406542.382169,0.872130,0.300000,0.572130,1091.502541,0.928492,0.071508,0.928492,0.071508,0.543751,1995.461134
case_4x30,manual,3,1,268356.666843,196655.729621,0.732815,0.300000,0.432815,1204.128496,0.875787,0.124213,0.875787,0.124213,0.543751,1995.461134
