instance_name,algorithm_name,base_id,period,beginning_inventory_weight,beginning_inventory_iron,purchase_qty,purchase_iron_qty,production_demand,ending_inventory_weight,ending_inventory_iron,safety_stock,safety_stock_redundancy,capacity,capacity_utilization,inventory_cost,weighted_average_grade_after_purchase
case_4x35,ga_greedy,0,0,300000.000000,200000.000000,636139.711381,380161.611816,380161.611816,322716.874855,200000.000000,44008.080591,3.544620,500000000,0.000645,35884056.910562,0.619738
case_4x35,ga_greedy,0,1,322716.874855,200000.000000,1814704.138951,1505281.152760,1652104.166682,66652.708446,53176.986078,42605.208334,0.248133,500000000,0.000133,61077991.727105,0.797822
case_4x35,ga_greedy,1,0,200000.000000,150000.000000,508294.072307,289510.990052,289510.990052,241732.546514,150000.000000,14475.549503,9.362301,500000000,0.000483,35207450.369405,0.620520
case_4x35,ga_greedy,1,1,241732.546514,150000.000000,499787.152911,315072.986009,391072.986009,117986.766396,74000.000000,19553.649300,2.784460,500000000,0.000236,29030974.135406,0.627189
case_4x35,ga_greedy,2,0,300000.000000,200000.000000,437607.994307,400714.297705,493714.557705,131383.361299,106999.740000,34685.727885,2.084835,500000000,0.000263,23112365.657854,0.814409
case_4x35,ga_greedy,2,1,131383.361299,106999.740000,631802.875537,537703.194474,537703.194474,126664.118536,106999.740000,26885.159724,2.979881,500000000,0.000253,34929410.804416,0.844752
case_4x35,ga_greedy,3,0,260000.000000,160000.000000,557843.105532,406542.382169,406542.382169,230971.064131,160000.000000,35327.119108,3.529098,500000000,0.000462,39771624.117998,0.692727
case_4x35,ga_greedy,3,1,230971.064131,160000.000000,225681.215232,217063.333830,217063.333830,193772.128294,160000.000000,10853.166692,13.742241,500000000,0.000388,26498680.397524,0.825712
