instance_name,algorithm_name,base_id,total_purchase_qty,total_iron_qty,production_demand_total,selected_supplier_count,long_contract_purchase_qty,long_contract_purchase_share,weighted_average_grade,average_purchase_price_per_ton,average_transport_cost_per_ton,average_delivered_cost_per_ton,average_unit_iron_cost,high_grade_purchase_share,low_unit_iron_cost_purchase_share,ending_inventory_weight,ending_inventory_iron,average_inventory_weight,average_inventory_iron,safety_stock_redundancy_avg,capacity_utilization_avg
case_5x30,manual,0,2275381.458055,1970265.778498,2032265.778498,13,1127224.458055,0.495400,0.865906,878.051654,15.909096,893.960750,1032.399657,0.934077,0.934077,157258.991877,138000.000000,197646.959333,153500.000000,2.539622,0.000395
case_5x30,manual,1,861236.909836,618583.976060,680583.976060,12,861236.909836,1.000000,0.718251,892.122580,17.538232,909.660811,1266.494925,0.825832,0.825832,119951.254034,88000.000000,143872.773229,103500.000000,5.360599,0.000288
case_5x30,manual,2,1176545.020454,969417.752179,1031417.752179,9,1176545.020454,1.000000,0.823953,880.161080,13.450082,893.611161,1084.541478,0.915005,0.915005,170004.752907,138000.000000,195246.851645,153500.000000,4.002632,0.000390
case_5x30,manual,3,724740.670722,607279.632632,623605.715999,6,377279.470078,0.520572,0.837927,891.816559,18.316738,910.133297,1086.172795,0.931010,0.931010,187151.574634,143673.916633,194886.647472,151836.958316,7.883535,0.000390
case_5x30,manual,4,1000551.725797,792991.828740,809317.912107,10,496171.367408,0.495898,0.792555,904.314489,17.040170,921.354659,1162.512602,0.850083,0.850083,257395.741927,183673.916633,254194.801879,191836.958316,12.000736,0.000508
