instance_name,algorithm_name,base_id,period,ending_inventory_iron,safety_stock,ending_inventory_weight,capacity
case_4x30,ga_greedy_only,0,0,192657.943477,44008.080591,302698.750786,500000000
case_4x30,ga_greedy_only,0,1,99656.516154,42605.208334,119143.470843,500000000
case_4x30,ga_greedy_only,1,0,149998.699531,14475.549503,213655.744862,500000000
case_4x30,ga_greedy_only,1,1,48919.001499,19553.649300,68227.211302,500000000
case_4x30,ga_greedy_only,2,0,135000.000000,34685.727885,167430.050157,500000000
case_4x30,ga_greedy_only,2,1,101294.249190,26885.159724,122411.405332,500000000
case_4x30,ga_greedy_only,3,0,159998.503696,35327.119108,209603.298251,500000000
case_4x30,ga_greedy_only,3,1,43883.106688,10853.166692,68882.584492,500000000
