instance_name,algorithm_name,base_id,supplier_id,total_purchase_qty,total_iron_qty,purchase_share_in_base,is_selected
case_5x30,ga_greedy_only,2,15,296754.533240,275981.715913,0.255164,1
case_5x30,ga_greedy_only,2,16,100000.000000,68000.000000,0.085985,1
case_5x30,ga_greedy_only,2,17,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,2,18,200000.000000,90000.000000,0.171970,1
case_5x30,ga_greedy_only,2,19,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,2,20,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,2,21,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,2,22,99999.000000,81629.600531,0.085984,1
case_5x30,ga_greedy_only,2,23,100000.000000,75550.778181,0.085985,1
case_5x30,ga_greedy_only,2,24,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,2,25,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,2,26,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,2,27,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,2,28,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,2,29,266240.911223,256074.213943,0.228927,1
case_5x30,ga_greedy_only,3,0,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,1,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,2,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,3,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,4,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,5,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,6,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,7,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,8,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,9,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,10,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,11,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,12,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,13,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,14,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,15,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,16,100000.000000,68000.000000,0.176068,1
case_5x30,ga_greedy_only,3,17,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,18,0.000000,0.000000,0.000000,0
