instance_name,algorithm_name,base_id,supplier_id,total_purchase_qty,total_iron_qty,purchase_share_in_base,is_selected
case_5x30,manual,2,29,0.000000,0.000000,0.000000,0
case_5x30,manual,3,0,0.000000,0.000000,0.000000,0
case_5x30,manual,3,1,0.000000,0.000000,0.000000,0
case_5x30,manual,3,2,0.000000,0.000000,0.000000,0
case_5x30,manual,3,3,0.000000,0.000000,0.000000,0
case_5x30,manual,3,4,0.000000,0.000000,0.000000,0
case_5x30,manual,3,5,0.000000,0.000000,0.000000,0
case_5x30,manual,3,6,0.000000,0.000000,0.000000,0
case_5x30,manual,3,7,0.000000,0.000000,0.000000,0
case_5x30,manual,3,8,0.000000,0.000000,0.000000,0
case_5x30,manual,3,9,0.000000,0.000000,0.000000,0
case_5x30,manual,3,10,0.000000,0.000000,0.000000,0
case_5x30,manual,3,11,0.000000,0.000000,0.000000,0
case_5x30,manual,3,12,0.000000,0.000000,0.000000,0
case_5x30,manual,3,13,0.000000,0.000000,0.000000,0
case_5x30,manual,3,14,0.000000,0.000000,0.000000,0
case_5x30,manual,3,15,0.000000,0.000000,0.000000,0
case_5x30,manual,3,16,40000.000000,27200.000000,0.055192,1
case_5x30,manual,3,17,0.000000,0.000000,0.000000,0
case_5x30,manual,3,18,0.000000,0.000000,0.000000,0
case_5x30,manual,3,19,50000.000000,38500.000000,0.068990,1
case_5x30,manual,3,20,50000.000000,19473.968411,0.068990,1
case_5x30,manual,3,21,40000.000000,26872.591738,0.055192,1
case_5x30,manual,3,22,197279.470078,161040.053755,0.272207,1
case_5x30,manual,3,23,0.000000,0.000000,0.000000,0
case_5x30,manual,3,24,0.000000,0.000000,0.000000,0
case_5x30,manual,3,25,0.000000,0.000000,0.000000,0
case_5x30,manual,3,26,0.000000,0.000000,0.000000,0
case_5x30,manual,3,27,0.000000,0.000000,0.000000,0
case_5x30,manual,3,28,0.000000,0.000000,0.000000,0
case_5x30,manual,3,29,347461.200644,334193.018727,0.479428,1
case_5x30,manual,4,0,0.000000,0.000000,0.000000,0
case_5x30,manual,4,1,0.000000,0.000000,0.000000,0
case_5x30,manual,4,2,0.000000,0.000000,0.000000,0
case_5x30,manual,4,3,0.000000,0.000000,0.000000,0
case_5x30,manual,4,4,0.000000,0.000000,0.000000,0
case_5x30,manual,4,5,0.000000,0.000000,0.000000,0
case_5x30,manual,4,6,0.000000,0.000000,0.000000,0
case_5x30,manual,4,7,0.000000,0.000000,0.000000,0
case_5x30,manual,4,8,0.000000,0.000000,0.000000,0
case_5x30,manual,4,9,0.000000,0.000000,0.000000,0
case_5x30,manual,4,10,0.000000,0.000000,0.000000,0
case_5x30,manual,4,11,0.000000,0.000000,0.000000,0
