instance_name,algorithm_name,base_id,period,beginning_inventory_weight,beginning_inventory_iron,purchase_qty,purchase_iron_qty,production_demand,ending_inventory_weight,ending_inventory_iron,safety_stock,safety_stock_redundancy,capacity,capacity_utilization,inventory_cost,weighted_average_grade_after_purchase
case_4x30,ga_greedy_only,0,0,300000.000000,200000.000000,599998.000000,372819.555293,380161.611816,302698.750786,192657.943477,44008.080591,3.377786,500000000,0.000605,33751074.044038,0.636468
case_4x30,ga_greedy_only,0,1,302698.750786,192657.943477,1791603.316889,1559102.739360,1652104.166682,119143.470843,99656.516154,42605.208334,1.339069,500000000,0.000238,61900910.056482,0.836441
case_4x30,ga_greedy_only,1,0,200000.000000,150000.000000,426030.561568,289509.689583,289510.990052,213655.744862,149998.699531,14475.549503,9.362211,500000000,0.000427,30293642.820878,0.702058
case_4x30,ga_greedy_only,1,1,213655.744862,149998.699531,400000.000000,289993.287976,391072.986009,68227.211302,48919.001499,19553.649300,1.501784,500000000,0.000136,23722066.001211,0.717001
case_4x30,ga_greedy_only,2,0,300000.000000,200000.000000,479745.999487,428714.557705,493714.557705,167430.050157,135000.000000,34685.727885,2.892091,500000000,0.000335,26882001.293437,0.806307
case_4x30,ga_greedy_only,2,1,167430.050157,135000.000000,604781.360734,503997.443664,537703.194474,122411.405332,101294.249190,26885.159724,2.767664,500000000,0.000245,33897361.280177,0.827490
case_4x30,ga_greedy_only,3,0,260000.000000,160000.000000,482187.180058,406540.885865,406542.382169,209603.298251,159998.503696,35327.119108,3.529056,500000000,0.000419,35154357.285850,0.763340
case_4x30,ga_greedy_only,3,1,209603.298251,159998.503696,200000.000000,100947.936823,217063.333830,68882.584492,43883.106688,10853.166692,3.043346,500000000,0.000138,20626420.795200,0.637071
