instance_name,algorithm_name,supplier_id,total_purchase_qty,total_iron_qty,purchase_share,iron_share,served_base_count,served_period_count,average_purchase_qty_per_active_period,supplier_grade,average_price,average_transport_cost_weighted,average_unit_iron_cost_weighted,is_long_contract_supplier,long_contract_min_qty,long_contract_surplus,reached_discount_threshold
case_4x30,manual,0,0.000000,0.000000,0.000000,0.000000,0,0,,0.540000,,,,0,,,0
case_4x30,manual,1,0.000000,0.000000,0.000000,0.000000,0,0,,0.490000,,,,0,,,0
case_4x30,manual,2,0.000000,0.000000,0.000000,0.000000,0,0,,0.340000,,,,0,,,0
case_4x30,manual,3,0.000000,0.000000,0.000000,0.000000,0,0,,0.620000,,,,0,,,0
case_4x30,manual,4,0.000000,0.000000,0.000000,0.000000,0,0,,0.610000,,,,0,,,0
case_4x30,manual,5,0.000000,0.000000,0.000000,0.000000,0,0,,0.650000,,,,0,,,0
case_4x30,manual,6,0.000000,0.000000,0.000000,0.000000,0,0,,0.370000,,,,0,,,0
case_4x30,manual,7,0.000000,0.000000,0.000000,0.000000,0,0,,0.310000,,,,0,,,0
case_4x30,manual,8,0.000000,0.000000,0.000000,0.000000,0,0,,0.320000,,,,0,,,0
case_4x30,manual,9,0.000000,0.000000,0.000000,0.000000,0,0,,0.420000,,,,0,,,0
case_4x30,manual,10,0.000000,0.000000,0.000000,0.000000,0,0,,0.260000,,,,0,,,0
case_4x30,manual,11,0.000000,0.000000,0.000000,0.000000,0,0,,0.450000,,,,0,,,0
case_4x30,manual,12,0.000000,0.000000,0.000000,0.000000,0,0,,0.260000,,,,0,,,0
case_4x30,manual,13,0.000000,0.000000,0.000000,0.000000,0,0,,0.760000,,,,0,,,0
case_4x30,manual,14,200000.000000,52000.000000,0.038167,0.012312,3,2,100000.000000,0.260000,969.083757,11.000000,3769.552910,1,200000.000000,0.000000,0
case_4x30,manual,15,905074.536439,841719.318888,0.172721,0.199296,3,2,452537.268219,0.930000,877.335390,12.642380,956.965345,1,200000.000000,705074.536439,0
case_4x30,manual,16,200000.000000,136000.000000,0.038167,0.032201,4,2,100000.000000,0.680000,835.743087,12.881716,1247.977651,1,200000.000000,0.000000,0
case_4x30,manual,17,200000.000000,158000.000000,0.038167,0.037410,2,2,100000.000000,0.790000,819.590558,30.998162,1076.694582,1,200000.000000,0.000000,0
case_4x30,manual,18,200000.000000,90000.000000,0.038167,0.021310,3,2,100000.000000,0.450000,903.103676,16.025968,2042.510320,1,200000.000000,0.000000,0
case_4x30,manual,19,200000.000000,154000.000000,0.038167,0.036463,4,2,100000.000000,0.770000,893.450796,18.490869,1184.339824,1,200000.000000,0.000000,0
case_4x30,manual,20,200000.000000,77895.873645,0.038167,0.018444,3,2,100000.000000,0.389479,929.167176,22.666667,2443.862037,1,200000.000000,0.000000,0
case_4x30,manual,21,200000.000000,134362.958692,0.038167,0.031813,4,2,100000.000000,0.671815,954.886726,15.750000,1444.798083,1,200000.000000,0.000000,0
case_4x30,manual,22,335023.333509,273480.943639,0.063935,0.064753,4,2,167511.666755,0.816304,842.602943,20.343190,1057.137972,1,200000.000000,135023.333509,0
case_4x30,manual,23,200000.000000,151101.556362,0.038167,0.035777,3,2,100000.000000,0.755508,870.790584,15.000000,1172.444024,1,200000.000000,0.000000,0
case_4x30,manual,24,200000.000000,122286.395037,0.038167,0.028954,2,2,100000.000000,0.611432,932.997030,22.000000,1561.902335,1,200000.000000,0.000000,0
case_4x30,manual,25,200000.000000,108992.206779,0.038167,0.025806,3,2,100000.000000,0.544961,935.280496,14.000000,1741.923619,1,200000.000000,0.000000,0
case_4x30,manual,26,0.000000,0.000000,0.000000,0.000000,0,0,,0.637902,,,,0,,,0
case_4x30,manual,27,0.000000,0.000000,0.000000,0.000000,0,0,,0.337051,,,,0,,,0
case_4x30,manual,28,0.000000,0.000000,0.000000,0.000000,0,0,,0.306272,,,,0,,,0
case_4x30,manual,29,1999998.471203,1923626.365486,0.381672,0.455462,4,2,999999.235601,0.961814,864.296878,17.189687,916.483478,0,,,1
