instance_name,algorithm_name,base_id,period,total_purchase_qty,total_iron_qty,weighted_average_grade,min_required_grade,grade_surplus,average_unit_iron_cost,high_grade_purchase_share,low_grade_purchase_share,low_unit_iron_cost_purchase_share,high_unit_iron_cost_purchase_share,high_grade_threshold,unit_iron_cost_threshold
case_5x30,ga_greedy_only,ALL,ALL,5631896.480353,4509334.588410,0.800678,,,1118.102084,0.893464,0.106536,0.893464,0.106536,0.543751,1994.831462
case_5x30,ga_greedy_only,0,ALL,2296654.171269,1929264.962194,0.840033,0.300000,0.540033,1055.068334,0.912917,0.087083,0.912917,0.087083,0.543751,1994.831462
case_5x30,ga_greedy_only,1,ALL,800384.316920,603579.378463,0.754112,0.300000,0.454112,1182.967345,1.000000,0.000000,1.000000,0.000000,0.543751,1994.831462
case_5x30,ga_greedy_only,2,ALL,1162994.444464,873236.308569,0.750852,0.300000,0.450852,1178.304651,0.742045,0.257955,0.742045,0.257955,0.543751,1994.831462
case_5x30,ga_greedy_only,3,ALL,567960.788649,474540.312169,0.835516,0.300000,0.535516,1098.772463,1.000000,0.000000,1.000000,0.000000,0.543751,1994.831462
case_5x30,ga_greedy_only,4,ALL,803902.759052,628713.627015,0.782077,0.300000,0.482077,1180.227491,0.875607,0.124393,0.875607,0.124393,0.543751,1994.831462
case_5x30,ga_greedy_only,0,0,443184.528834,380161.611816,0.857795,0.300000,0.557795,1006.054788,1.000000,0.000000,1.000000,0.000000,0.543751,1994.831462
case_5x30,ga_greedy_only,0,1,1853469.642434,1549103.350378,0.835786,0.300000,0.535786,1067.096627,0.892094,0.107906,0.892094,0.107906,0.543751,1994.831462
case_5x30,ga_greedy_only,1,0,288185.536629,212508.822454,0.737403,0.300000,0.437403,1277.322093,1.000000,0.000000,1.000000,0.000000,0.543751,1994.831462
case_5x30,ga_greedy_only,1,1,512198.780291,391070.556009,0.763513,0.300000,0.463513,1131.694714,1.000000,0.000000,1.000000,0.000000,0.543751,1994.831462
case_5x30,ga_greedy_only,2,0,596754.533240,397532.494095,0.666157,0.300000,0.366157,1327.212319,0.664854,0.335146,0.664854,0.335146,0.543751,1994.831462
case_5x30,ga_greedy_only,2,1,566239.911223,475703.814474,0.840110,0.300000,0.540110,1053.866639,0.823396,0.176604,0.823396,0.176604,0.543751,1994.831462
case_5x30,ga_greedy_only,3,0,467960.788649,406540.312169,0.868749,0.300000,0.568749,1077.634766,1.000000,0.000000,1.000000,0.000000,0.543751,1994.831462
case_5x30,ga_greedy_only,3,1,100000.000000,68000.000000,0.680000,0.300000,0.380000,1225.144904,1.000000,0.000000,1.000000,0.000000,0.543751,1994.831462
case_5x30,ga_greedy_only,4,0,703902.759052,567570.429497,0.806319,0.300000,0.506319,1129.691758,0.857935,0.142065,0.857935,0.142065,0.543751,1994.831462
case_5x30,ga_greedy_only,4,1,100000.000000,61143.197518,0.611432,0.300000,0.311432,1649.332618,1.000000,0.000000,1.000000,0.000000,0.543751,1994.831462
