instance_name,algorithm_name,base_id,period,beginning_inventory_weight,beginning_inventory_iron,purchase_qty,purchase_iron_qty,production_demand,ending_inventory_weight,ending_inventory_iron,safety_stock,safety_stock_redundancy,capacity,capacity_utilization,inventory_cost,weighted_average_grade_after_purchase
case_4x30,manual,0,0,300000.000000,200000.000000,501762.114208,349161.611816,380161.611816,246735.741148,169000.000000,44008.080591,2.840204,500000000,0.000493,27866540.702099,0.684943
case_4x30,manual,0,1,246735.741148,169000.000000,1853068.306660,1652104.166682,1652104.166682,194863.583628,169000.000000,42605.208334,2.966651,500000000,0.000390,65742092.928048,0.867273
case_4x30,manual,1,0,200000.000000,150000.000000,404288.327365,258510.990052,289510.990052,176030.297122,119000.000000,14475.549503,7.220759,500000000,0.000352,26850386.717138,0.676020
case_4x30,manual,1,1,176030.297122,119000.000000,541971.474791,391072.986009,391072.986009,167509.774486,119000.000000,19553.649300,5.085821,500000000,0.000335,32286584.349340,0.710406
case_4x30,manual,2,0,300000.000000,200000.000000,579834.361795,462714.557705,493714.557705,224368.101492,169000.000000,34685.727885,3.872321,500000000,0.000449,33942828.637699,0.753227
case_4x30,manual,2,1,224368.101492,169000.000000,624666.066404,506703.194474,537703.194474,173399.676260,138000.000000,26885.159724,4.132943,500000000,0.000347,36236169.507909,0.795849
case_4x30,manual,3,0,260000.000000,160000.000000,466149.023085,406542.382169,406542.382169,205075.290658,160000.000000,35327.119108,3.529098,500000000,0.000410,34175684.571691,0.780201
case_4x30,manual,3,1,205075.290658,160000.000000,268356.666843,196655.729621,217063.333830,185297.741500,139592.395791,10853.166692,11.861905,500000000,0.000371,27832521.925352,0.753341
