instance_name,algorithm_name,base_id,total_purchase_qty,total_iron_qty,production_demand_total,selected_supplier_count,long_contract_purchase_qty,long_contract_purchase_share,weighted_average_grade,average_purchase_price_per_ton,average_transport_cost_per_ton,average_delivered_cost_per_ton,average_unit_iron_cost,high_grade_purchase_share,low_unit_iron_cost_purchase_share,ending_inventory_weight,ending_inventory_iron,average_inventory_weight,average_inventory_iron,safety_stock_redundancy_avg,capacity_utilization_avg
case_4x30,manual,0,2354830.420868,2001265.778498,2032265.778498,13,901762.114208,0.382941,0.849856,864.202451,17.138125,881.340577,1037.047464,0.915068,0.915068,194863.583628,169000.000000,220799.662388,169000.000000,2.903428,0.000442
case_4x30,manual,1,946259.802157,649583.976060,680583.976060,13,804288.327365,0.849966,0.686475,889.648827,19.339061,908.987888,1324.137804,0.788642,0.788642,167509.774486,119000.000000,171770.035804,119000.000000,6.153290,0.000344
case_4x30,manual,2,1204500.428199,969417.752179,1031417.752179,10,1132357.428199,0.940105,0.804830,888.045396,13.630855,901.676252,1120.331693,0.889304,0.889304,173399.676260,138000.000000,198883.888876,153500.000000,4.002632,0.000398
case_4x30,manual,3,734505.689928,603198.111791,623605.715999,6,401690.000176,0.546885,0.821230,908.388571,18.140414,926.528985,1128.221057,0.909236,0.909236,185297.741500,139592.395791,195186.516079,149796.197896,7.695502,0.000390
