instance_name,algorithm_name,supplier_id,total_purchase_qty,purchase_share,cumulative_purchase_share,rank
case_4x30,ga_greedy_only,29,1873790.496947,0.375935,0.375935,1
case_4x30,ga_greedy_only,15,684527.360222,0.137335,0.513270,2
case_4x30,ga_greedy_only,22,326030.561568,0.065411,0.578681,3
case_4x30,ga_greedy_only,17,200000.000000,0.040126,0.618807,4
case_4x30,ga_greedy_only,24,200000.000000,0.040126,0.658933,5
case_4x30,ga_greedy_only,23,200000.000000,0.040126,0.699058,6
case_4x30,ga_greedy_only,21,200000.000000,0.040126,0.739184,7
case_4x30,ga_greedy_only,20,200000.000000,0.040126,0.779309,8
case_4x30,ga_greedy_only,19,200000.000000,0.040126,0.819435,9
case_4x30,ga_greedy_only,14,200000.000000,0.040126,0.859561,10
case_4x30,ga_greedy_only,18,200000.000000,0.040126,0.899686,11
case_4x30,ga_greedy_only,16,199999.000000,0.040125,0.939812,12
case_4x30,ga_greedy_only,25,199999.000000,0.040125,0.979937,13
case_4x30,ga_greedy_only,3,100000.000000,0.020063,1.000000,14
case_4x30,ga_greedy_only,28,0.000000,0.000000,1.000000,15
case_4x30,ga_greedy_only,27,0.000000,0.000000,1.000000,16
case_4x30,ga_greedy_only,26,0.000000,0.000000,1.000000,17
case_4x30,ga_greedy_only,2,0.000000,0.000000,1.000000,18
case_4x30,ga_greedy_only,1,0.000000,0.000000,1.000000,19
case_4x30,ga_greedy_only,13,0.000000,0.000000,1.000000,20
case_4x30,ga_greedy_only,12,0.000000,0.000000,1.000000,21
case_4x30,ga_greedy_only,11,0.000000,0.000000,1.000000,22
case_4x30,ga_greedy_only,10,0.000000,0.000000,1.000000,23
case_4x30,ga_greedy_only,9,0.000000,0.000000,1.000000,24
case_4x30,ga_greedy_only,8,0.000000,0.000000,1.000000,25
case_4x30,ga_greedy_only,7,0.000000,0.000000,1.000000,26
case_4x30,ga_greedy_only,6,0.000000,0.000000,1.000000,27
case_4x30,ga_greedy_only,5,0.000000,0.000000,1.000000,28
case_4x30,ga_greedy_only,4,0.000000,0.000000,1.000000,29
case_4x30,ga_greedy_only,0,0.000000,0.000000,1.000000,30
