instance_name,algorithm_name,purchase_cost,transport_cost,inventory_cost,fixed_supplier_cost,total_cost,reported_total_cost,total_purchase_qty,total_iron_qty,average_purchase_price_per_ton,average_delivered_cost_per_ton,average_unit_iron_cost,runtime_seconds,feasibility_status
case_5x30,manual,5352929635.776659,97452917.090771,366783251.689253,48724195.000000,5865889999.556683,5879964722.295830,6038455.784865,4958538.968109,886.473268,902.611983,1099.191231,0.147525,True
case_5x30,ga_greedy_only,4950265294.397032,91631107.903883,313497960.698778,56088495.000000,5411482857.999693,5411482857.999693,5631896.480353,4509334.588410,878.969511,895.239538,1118.102084,929.508302,True
