instance_name,algorithm_name,supplier_id,total_purchase_qty,total_iron_qty,purchase_share,iron_share,served_base_count,served_period_count,average_purchase_qty_per_active_period,supplier_grade,average_price,average_transport_cost_weighted,average_unit_iron_cost_weighted,is_long_contract_supplier,long_contract_min_qty,long_contract_surplus,reached_discount_threshold
case_4x30,ga_greedy_only,0,0.000000,0.000000,0.000000,0.000000,0,0,,0.540000,,,,0,,,0
case_4x30,ga_greedy_only,1,0.000000,0.000000,0.000000,0.000000,0,0,,0.490000,,,,0,,,0
case_4x30,ga_greedy_only,2,0.000000,0.000000,0.000000,0.000000,0,0,,0.340000,,,,0,,,0
case_4x30,ga_greedy_only,3,100000.000000,62000.000000,0.020063,0.015690,1,1,100000.000000,0.620000,898.126540,20.588673,1481.798731,0,,,0
case_4x30,ga_greedy_only,4,0.000000,0.000000,0.000000,0.000000,0,0,,0.610000,,,,0,,,0
case_4x30,ga_greedy_only,5,0.000000,0.000000,0.000000,0.000000,0,0,,0.650000,,,,0,,,0
case_4x30,ga_greedy_only,6,0.000000,0.000000,0.000000,0.000000,0,0,,0.370000,,,,0,,,0
case_4x30,ga_greedy_only,7,0.000000,0.000000,0.000000,0.000000,0,0,,0.310000,,,,0,,,0
case_4x30,ga_greedy_only,8,0.000000,0.000000,0.000000,0.000000,0,0,,0.320000,,,,0,,,0
case_4x30,ga_greedy_only,9,0.000000,0.000000,0.000000,0.000000,0,0,,0.420000,,,,0,,,0
case_4x30,ga_greedy_only,10,0.000000,0.000000,0.000000,0.000000,0,0,,0.260000,,,,0,,,0
case_4x30,ga_greedy_only,11,0.000000,0.000000,0.000000,0.000000,0,0,,0.450000,,,,0,,,0
case_4x30,ga_greedy_only,12,0.000000,0.000000,0.000000,0.000000,0,0,,0.260000,,,,0,,,0
case_4x30,ga_greedy_only,13,0.000000,0.000000,0.000000,0.000000,0,0,,0.760000,,,,0,,,0
case_4x30,ga_greedy_only,14,200000.000000,52000.000000,0.040126,0.013159,2,2,100000.000000,0.260000,969.083757,10.500000,3767.629833,1,200000.000000,0.000000,0
case_4x30,ga_greedy_only,15,684527.360222,636610.445006,0.137335,0.161101,1,2,342263.680111,0.930000,883.716974,13.092965,964.311762,1,200000.000000,484527.360222,0
case_4x30,ga_greedy_only,16,199999.000000,135999.320000,0.040125,0.034416,2,2,99999.500000,0.680000,835.743003,12.381721,1247.242242,1,200000.000000,-1.000000,0
case_4x30,ga_greedy_only,17,200000.000000,158000.000000,0.040126,0.039984,2,2,100000.000000,0.790000,819.590558,30.998162,1076.694582,1,200000.000000,0.000000,0
case_4x30,ga_greedy_only,18,200000.000000,90000.000000,0.040126,0.022775,2,2,100000.000000,0.450000,903.103676,15.525968,2041.399209,1,200000.000000,0.000000,0
case_4x30,ga_greedy_only,19,200000.000000,154000.000000,0.040126,0.038971,2,2,100000.000000,0.770000,893.450796,17.990869,1183.690473,1,200000.000000,0.000000,0
case_4x30,ga_greedy_only,20,200000.000000,77895.873645,0.040126,0.019712,1,2,100000.000000,0.389479,929.167176,19.000000,2434.447760,1,200000.000000,0.000000,0
case_4x30,ga_greedy_only,21,200000.000000,134362.958692,0.040126,0.034002,2,2,100000.000000,0.671815,954.886726,17.000000,1446.658715,1,200000.000000,0.000000,0
case_4x30,ga_greedy_only,22,326030.561568,266140.106418,0.065411,0.067350,1,2,163015.280784,0.816304,853.176382,27.000000,1078.245605,1,200000.000000,126030.561568,0
case_4x30,ga_greedy_only,23,200000.000000,151101.556362,0.040126,0.038238,1,2,100000.000000,0.755508,870.790584,12.000000,1168.473185,1,200000.000000,0.000000,0
case_4x30,ga_greedy_only,24,200000.000000,122286.395037,0.040126,0.030946,1,2,100000.000000,0.611432,932.997030,16.000000,1552.089305,1,200000.000000,0.000000,0
case_4x30,ga_greedy_only,25,199999.000000,108991.661818,0.040125,0.027581,1,2,99999.500000,0.544961,935.280218,11.000000,1736.418127,1,200000.000000,-1.000000,0
case_4x30,ga_greedy_only,26,0.000000,0.000000,0.000000,0.000000,0,0,,0.637902,,,,0,,,0
case_4x30,ga_greedy_only,27,0.000000,0.000000,0.000000,0.000000,0,0,,0.337051,,,,0,,,0
case_4x30,ga_greedy_only,28,0.000000,0.000000,0.000000,0.000000,0,0,,0.306272,,,,0,,,0
case_4x30,ga_greedy_only,29,1873790.496947,1802237.779290,0.375935,0.456075,3,2,936895.248473,0.961814,867.949165,17.354562,920.452189,0,,,1
