base_id,instance_name,algorithm_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,case_5x30,ga_greedy_only,0.000000,0.000000,0.000000,0.000000,100000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100000.000000,100000.000000,343184.528834,0.000000,100000.000000,0.000000,100000.000000,100000.000000,100000.000000,0.000000,100000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1153469.642434
1,case_5x30,ga_greedy_only,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99999.000000,0.000000,88186.536629,0.000000,0.000000,0.000000,312198.780291,0.000000,0.000000,0.000000,0.000000,0.000000,200000.000000,0.000000,0.000000,0.000000,100000.000000
2,case_5x30,ga_greedy_only,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100000.000000,296754.533240,100000.000000,0.000000,200000.000000,0.000000,0.000000,0.000000,99999.000000,100000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,266240.911223
3,case_5x30,ga_greedy_only,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100000.000000,0.000000,0.000000,0.000000,0.000000,100000.000000,100000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,267960.788649
4,case_5x30,ga_greedy_only,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100000.000000,0.000000,0.000000,100000.000000,0.000000,0.000000,0.000000,200000.000000,0.000000,0.000000,0.000000,0.000000,403902.759052
