instance_name,algorithm_name,purchase_cost,transport_cost,inventory_cost,fixed_supplier_cost,total_cost,reported_total_cost,total_purchase_qty,total_iron_qty,average_purchase_price_per_ton,average_delivered_cost_per_ton,average_unit_iron_cost,runtime_seconds,feasibility_status
case_4x30,manual,4613756779.335264,88399764.132433,284932809.339276,48724195.000000,5035813547.806973,5035813547.806973,5240096.341151,4223465.618528,880.471747,897.341621,1113.340789,0.119915,True
case_4x30,ga_greedy_only,4408074506.663450,84822318.596813,266227833.577273,50319195.000000,4809443853.837536,4809443853.837537,4984346.418737,3951626.096268,884.383656,901.401397,1136.974176,734.938503,True
