instance_name,algorithm_name,base_id,period,ending_inventory_iron,safety_stock,ending_inventory_weight,capacity
case_4x35,ga_greedy,0,0,200000.000000,44008.080591,322716.874855,500000000
case_4x35,ga_greedy,0,1,53176.986078,42605.208334,66652.708446,500000000
case_4x35,ga_greedy,1,0,150000.000000,14475.549503,241732.546514,500000000
case_4x35,ga_greedy,1,1,74000.000000,19553.649300,117986.766396,500000000
case_4x35,ga_greedy,2,0,106999.740000,34685.727885,131383.361299,500000000
case_4x35,ga_greedy,2,1,106999.740000,26885.159724,126664.118536,500000000
case_4x35,ga_greedy,3,0,160000.000000,35327.119108,230971.064131,500000000
case_4x35,ga_greedy,3,1,160000.000000,10853.166692,193772.128294,500000000
