instance_name,algorithm_name,base_id,total_purchase_qty,total_iron_qty,production_demand_total,selected_supplier_count,long_contract_purchase_qty,long_contract_purchase_share,weighted_average_grade,average_purchase_price_per_ton,average_transport_cost_per_ton,average_delivered_cost_per_ton,average_unit_iron_cost,high_grade_purchase_share,low_unit_iron_cost_purchase_share,ending_inventory_weight,ending_inventory_iron,average_inventory_weight,average_inventory_iron,safety_stock_redundancy_avg,capacity_utilization_avg
case_5x30,ga_greedy_only,0,2296654.171269,1929264.962194,2032265.778498,10,943184.528834,0.410678,0.840033,869.135293,17.156773,886.292066,1055.068334,0.912917,0.912917,116994.887512,96999.183696,186597.013548,148499.591848,2.410659,0.000373
case_5x30,ga_greedy_only,1,800384.316920,603579.378463,680583.976060,5,600385.316920,0.750121,0.754112,875.071105,17.018707,892.089812,1182.967345,1.000000,1.000000,96028.907675,72995.402403,97167.031343,72996.617403,3.387960,0.000194
case_5x30,ga_greedy_only,2,1162994.444464,873236.308569,1031417.752179,7,896753.533240,0.771073,0.750852,870.697230,14.034773,884.732002,1178.304651,0.742045,0.742045,52103.172350,41818.556390,103954.634134,72818.246390,1.274277,0.000208
case_5x30,ga_greedy_only,3,567960.788649,474540.312169,623605.715999,4,300000.000000,0.528205,0.835516,901.439697,16.602249,918.041946,1098.772463,1.000000,1.000000,14655.611718,10934.596170,110120.331654,85466.263085,1.768271,0.000220
case_5x30,ga_greedy_only,4,803902.759052,628713.627015,809317.912107,4,400000.000000,0.497573,0.782077,907.038146,15.990290,923.028436,1180.227491,0.875607,0.875607,27243.190562,19395.714908,109097.343619,82697.319302,2.381948,0.000218
