case_id,variant_name,random_seed,status,error_message,best_cost,lower_bound,gap_to_lower_bound_pct,runtime_sec,time_to_best_sec,iter_to_best,final_feasible,num_greedy_decode_calls,num_solver_decode_calls,total_greedy_decode_time_sec,total_solver_decode_time_sec,num_local_search_calls,num_local_search_improvements,total_local_search_improvement,best_solution_supplier_count,best_solution_total_purchase_quantity,best_solution_discount_saving
case_2,Full-GA-hybrid,0,error,AttributeError: Unable to retrieve attribute 'Xn',1000000000000.0,2676841355.6658993,37257.462289775365,273.2175557613373,,,False,1525,93,7.041837453842163,198.02940583229065,25,20,5290131747.864067,,,
case_2,w/o staged decoding,0,success,,2918586923.49655,2676841355.6658993,9.03100093395387,83.41528081893921,73.77028179168701,200,True,2027,0,12.231188774108887,0.0,50,20,5290129660.469564,8,3114709.7590461755,109304486.97963524
case_2,solver-only decoding,0,error,AttributeError: Unable to retrieve attribute 'Xn',1000000000000.0,2676841355.6658993,37257.462289775365,32.8340699672699,,,False,0,1,0.0,9.625185012817383,0,0,0.0,,,
case_2,w/o local search,0,success,,2747200161.5685916,2676841355.6658993,2.628426438263453,673.1862750053406,636.5159182548523,484,True,1525,502,7.304902791976929,665.556077003479,0,0,0.0,6,2952515.932078434,133971619.93401901
case_2,adaptive mutation only,0,error,AttributeError: Unable to retrieve attribute 'Xn',1000000000000.0,2676841355.6658993,37257.462289775365,2706.9317989349365,,,False,1525,429,6.866488456726074,2597.0822806358337,45,24,4924588742.195499,,,
